state,county,candidate,party,votes
Indiana,Union County,Eric Holcomb,REP,2532
Indiana,Union County,Woody Myers,DEM,603
Indiana,Union County,Donald Rainwater,LIB,323
Indiana,Vanderburgh County,Eric Holcomb,REP,46481
Indiana,Vanderburgh County,Woody Myers,DEM,27234
Indiana,Vanderburgh County,Donald Rainwater,LIB,3657
Indiana,Vermillion County,Eric Holcomb,REP,4938
Indiana,Vermillion County,Woody Myers,DEM,1531
Indiana,Vermillion County,Donald Rainwater,LIB,917
Indiana,Vigo County,Eric Holcomb,REP,25880
Indiana,Vigo County,Woody Myers,DEM,13968
Indiana,Vigo County,Donald Rainwater,LIB,3411
Indiana,Wabash County,Eric Holcomb,REP,9111
Indiana,Wabash County,Donald Rainwater,LIB,2979
Indiana,Wabash County,Woody Myers,DEM,2421
Indiana,Warren County,Eric Holcomb,REP,3009
Indiana,Warren County,Donald Rainwater,LIB,777
Indiana,Warren County,Woody Myers,DEM,672
Indiana,Warrick County,Eric Holcomb,REP,22701
Indiana,Warrick County,Woody Myers,DEM,9071
Indiana,Warrick County,Donald Rainwater,LIB,1746
Indiana,Washington County,Eric Holcomb,REP,7917
Indiana,Washington County,Woody Myers,DEM,2407
Indiana,Washington County,Donald Rainwater,LIB,1745
Indiana,Wayne County,Eric Holcomb,REP,16914
Indiana,Wayne County,Woody Myers,DEM,7533
Indiana,Wayne County,Donald Rainwater,LIB,3172
Indiana,Wells County,Eric Holcomb,REP,9371
Indiana,Wells County,Donald Rainwater,LIB,2712
Indiana,Wells County,Woody Myers,DEM,1967
Indiana,White County,Eric Holcomb,REP,6800
Indiana,White County,Woody Myers,DEM,1876
Indiana,White County,Donald Rainwater,LIB,1677
Indiana,Whitley County,Eric Holcomb,REP,11519
Indiana,Whitley County,Donald Rainwater,LIB,3191
Indiana,Whitley County,Woody Myers,DEM,2736
Missouri,Adair County,Mike Parson,REP,6576
Missouri,Adair County,Nicole Galloway,DEM,3542
Missouri,Adair County,Rik Combs,LIB,131
Missouri,Adair County,Jerome Bauer,GRN,43
Missouri,Andrew County,Mike Parson,REP,7195
Missouri,Andrew County,Nicole Galloway,DEM,2356
Missouri,Andrew County,Rik Combs,LIB,140
Missouri,Andrew County,Jerome Bauer,GRN,42
Missouri,Atchison County,Mike Parson,REP,2171
Missouri,Atchison County,Nicole Galloway,DEM,533
Missouri,Atchison County,Rik Combs,LIB,51
Missouri,Atchison County,Jerome Bauer,GRN,15
Missouri,Audrain County,Mike Parson,REP,7638
Missouri,Audrain County,Nicole Galloway,DEM,2663
Missouri,Audrain County,Rik Combs,LIB,232
Missouri,Audrain County,Jerome Bauer,GRN,70
Missouri,Barry County,Mike Parson,REP,12356
Missouri,Barry County,Nicole Galloway,DEM,2841
Missouri,Barry County,Rik Combs,LIB,242
Missouri,Barry County,Jerome Bauer,GRN,88
Missouri,Barton County,Mike Parson,REP,5114
Missouri,Barton County,Nicole Galloway,DEM,816
Missouri,Barton County,Rik Combs,LIB,69
Missouri,Barton County,Jerome Bauer,GRN,33
Missouri,Bates County,Mike Parson,REP,6409
Missouri,Bates County,Nicole Galloway,DEM,1762
Missouri,Bates County,Rik Combs,LIB,134
Missouri,Bates County,Jerome Bauer,GRN,51
Missouri,Benton County,Mike Parson,REP,8013
Missouri,Benton County,Nicole Galloway,DEM,2178
Missouri,Benton County,Rik Combs,LIB,180
Missouri,Benton County,Jerome Bauer,GRN,56
Missouri,Bollinger County,Mike Parson,REP,5059
Missouri,Bollinger County,Nicole Galloway,DEM,772
Missouri,Bollinger County,Rik Combs,LIB,91
Missouri,Bollinger County,Jerome Bauer,GRN,21
Missouri,Boone County,Nicole Galloway,DEM,47997
Missouri,Boone County,Mike Parson,REP,40432
Missouri,Boone County,Rik Combs,LIB,1704
Missouri,Boone County,Jerome Bauer,GRN,459
Missouri,Buchanan County,Mike Parson,REP,22147
Missouri,Buchanan County,Nicole Galloway,DEM,13225
Missouri,Buchanan County,Rik Combs,LIB,719
Missouri,Buchanan County,Jerome Bauer,GRN,303
Missouri,Butler County,Mike Parson,REP,14333
Missouri,Butler County,Nicole Galloway,DEM,3349
Missouri,Butler County,Rik Combs,LIB,257
Missouri,Butler County,Jerome Bauer,GRN,61
Missouri,Caldwell County,Mike Parson,REP,3603
Missouri,Caldwell County,Nicole Galloway,DEM,961
Missouri,Caldwell County,Rik Combs,LIB,98
Missouri,Caldwell County,Jerome Bauer,GRN,33
Missouri,Callaway County,Mike Parson,REP,14949
Missouri,Callaway County,Nicole Galloway,DEM,5607
Missouri,Callaway County,Rik Combs,LIB,461
Missouri,Callaway County,Jerome Bauer,GRN,79
Missouri,Camden County,Mike Parson,REP,18809
Missouri,Camden County,Nicole Galloway,DEM,5455
Missouri,Camden County,Rik Combs,LIB,325
Missouri,Camden County,Jerome Bauer,GRN,103
Missouri,Cape Girardeau County,Mike Parson,REP,29091
Missouri,Cape Girardeau County,Nicole Galloway,DEM,10257
Missouri,Cape Girardeau County,Rik Combs,LIB,627
Missouri,Cape Girardeau County,Jerome Bauer,GRN,131
Missouri,Carroll County,Mike Parson,REP,3671
Missouri,Carroll County,Nicole Galloway,DEM,770
Missouri,Carroll County,Rik Combs,LIB,44
Missouri,Carroll County,Jerome Bauer,GRN,13
Missouri,Carter County,Mike Parson,REP,2412
Missouri,Carter County,Nicole Galloway,DEM,401
Missouri,Carter County,Rik Combs,LIB,38
Missouri,Carter County,Jerome Bauer,GRN,10
Missouri,Cass County,Mike Parson,REP,37000
Missouri,Cass County,Nicole Galloway,DEM,18755
Missouri,Cass County,Rik Combs,LIB,1028
Missouri,Cass County,Jerome Bauer,GRN,319
Missouri,Cedar County,Mike Parson,REP,5769
Missouri,Cedar County,Nicole Galloway,DEM,1102
Missouri,Cedar County,Rik Combs,LIB,124
Missouri,Cedar County,Jerome Bauer,GRN,30
Missouri,Chariton County,Mike Parson,REP,3099
Missouri,Chariton County,Nicole Galloway,DEM,910
Missouri,Chariton County,Rik Combs,LIB,57
Missouri,Chariton County,Jerome Bauer,GRN,5
Missouri,Christian County,Mike Parson,REP,34815
Missouri,Christian County,Nicole Galloway,DEM,10857
Missouri,Christian County,Rik Combs,LIB,804
